,SB,SW,SR,SN,SE,SS,PUN,SP,PJ,PW,PR,PS,PI,PC,PL,PM,PZ,PX,PF,PA,PN,BF,FB,FG,FL,FM,FS,CE,CW,CY,CR,LA,LE,LW,LS,HE,HW,HM,TA,TE,OC,PO,PL,PB,PD,PX,PA,BP,BW,BY,BT,BL,BM,BC,BUN,MH,MS,AG,MB,MN,MM,ST,MP,OR,OW,OB,OK,OP,OS,OC,OE,OX,OY,OL,AB,AW,AX,AH,AM,EA,ER,ES,EU,EX,HB,HS,HC,HG,WB,BU,CB,CP,CV,CD,CH,SA,SBW,SF,SH,SK,SL,SM,SNW,SO,AL,AGL,AR,AV,BE,BI,CA,BA,BD,IW,BLUE,SY,TU,HK,SAS,GYM,GLED,MAG,PT,NYS,HAM,RHO,ROB,RHA,RHF,SOR,SOU,SOE,EUG,AT,CRB,AP,APM,CORN,CORA,CORS,VIB,VIBL,CEPH,OH,U
AX,0.7400328,0.7769745,0.7548951,0.74959147,0.7592076,0.7517415,0.7625736,0.77224666,0.76566154,0.7792833,0.7876301,0.7456326,0.76545584,0.74931717,0.7504033,0.7289073,0.75617015,0.7502954,0.76282275,0.7630185,0.7754458,0.7668233,0.7398011,0.77688575,0.7546146,0.76855594,0.77068007,0.72900385,0.7066773,0.72028065,0.7682885,0.75588953,0.788515,0.78221524,0.7617943,0.76627153,0.7454249,0.7408552,0.74243647,0.7561062,0.7745205,0.80660313,0.80371255,0.81836724,0.80542946,0.81185156,0.8139345,0.77304006,0.79667294,0.8084803,0.76634336,0.78642464,0.80886656,0.7892759,0.7561798,0.79499596,0.79424167,0.80489063,0.7838042,0.7566448,0.7652987,0.7789364,0.7443905,0.81371826,0.81471497,0.7933056,0.7845634,0.7866671,0.769248,0.75692123,0.77037007,0.8003319,0.7891942,0.7612816,0.8792875,0.9104322,0.99999994,0.8768437,0.90907896,0.80674046,0.7852834,0.8154576,0.7415384,0.7489786,0.81851476,0.80008554,0.7916664,0.7918689,0.7903009,0.8079763,0.77971065,0.79394346,0.76970375,0.75978255,0.7521596,0.7670496,0.7908466,0.7645559,0.7626504,0.7574958,0.75718904,0.76592547,0.74665815,0.82043236,0.76606673,0.7729515,0.7846851,0.7666619,0.7989565,0.7664544,0.81807333,0.7935148,0.73855203,0.7676108,0.798785,0.81112313,0.74625576,0.82006395,0.77760637,0.7746429,0.7617466,0.75635767,0.7615417,0.73430806,0.75142443,0.7094275,0.72907037,0.74043626,0.7802693,0.80215883,0.78331846,0.8069384,0.7047988,0.7459551,0.72811425,0.7491807,0.73768693,0.73727024,0.7770469,0.7427918,0.72244966,0.7179093,0.73236835,0.80942804,0.6922854
AH,0.7486879,0.74717194,0.756925,0.7395294,0.7438382,0.7556571,0.78381336,0.76053387,0.76525027,0.74611205,0.76354134,0.728446,0.777743,0.7640358,0.7558501,0.73306334,0.76370335,0.7632176,0.75648737,0.76032007,0.7724608,0.77941716,0.7438611,0.76042056,0.73904335,0.74762845,0.767091,0.72380126,0.7266119,0.7316095,0.7860784,0.74097514,0.76628935,0.7798602,0.7567905,0.7339685,0.7373869,0.74263597,0.7092517,0.72488844,0.7628222,0.81341505,0.78905666,0.8062674,0.7753198,0.8029666,0.78735733,0.77391195,0.79143244,0.792984,0.7801739,0.7925658,0.7911866,0.7635263,0.7509386,0.79371506,0.78512573,0.79364187,0.757212,0.7652815,0.76606476,0.7509172,0.75117224,0.8073668,0.80264556,0.78508794,0.7970814,0.8084564,0.7955332,0.8131575,0.8019044,0.83605576,0.8279383,0.7973491,0.87911373,0.885788,0.8768437,0.99999994,0.91021574,0.7581272,0.7605753,0.76879925,0.7291403,0.73935944,0.8120819,0.7847648,0.7869339,0.80695385,0.8013225,0.8060439,0.78344834,0.7801781,0.7643488,0.76035523,0.7471267,0.7649256,0.73464507,0.73209655,0.72830623,0.7393218,0.71962714,0.73408234,0.7286151,0.774037,0.74776554,0.76150036,0.7638935,0.7660666,0.80901337,0.76569873,0.8415012,0.7933211,0.7581238,0.7566011,0.81245553,0.8089228,0.7636476,0.7853102,0.7983552,0.8019804,0.7676922,0.770903,0.77228045,0.76102185,0.7671108,0.734902,0.7584599,0.7559861,0.77201074,0.7916961,0.7883747,0.7960856,0.7271782,0.7427614,0.7566088,0.77302045,0.75859797,0.75703347,0.7573907,0.7283769,0.71296287,0.7084795,0.7431867,0.80193484,0.7089647
AM,0.76123935,0.77973413,0.7826863,0.7849563,0.7724947,0.77055705,0.7778231,0.80959404,0.7891433,0.76736236,0.7877941,0.7715832,0.7939394,0.77887374,0.7956921,0.7505519,0.7783801,0.78297687,0.79245055,0.7834505,0.8224219,0.8257183,0.7885071,0.80968374,0.7765094,0.79998535,0.80824894,0.70790905,0.7120031,0.7361543,0.778481,0.7673126,0.8121556,0.80299634,0.79105484,0.7468827,0.75897557,0.7448561,0.7385005,0.7543117,0.81554455,0.83653367,0.79646945,0.8254818,0.7766082,0.81827813,0.8261644,0.78199226,0.7957441,0.79975456,0.80096114,0.81471276,0.7954636,0.77008885,0.7765941,0.7926647,0.8123057,0.80387574,0.76894087,0.7799962,0.7841091,0.7520022,0.779252,0.8040962,0.8103717,0.78543305,0.7758323,0.7838298,0.79241264,0.76678765,0.78956604,0.8087493,0.81827354,0.7907555,0.92264146,0.9147758,0.90907896,0.91021574,0.9999999,0.78721005,0.7763562,0.7973322,0.7701106,0.7889068,0.79653186,0.7619273,0.7753327,0.7820903,0.78584975,0.80073255,0.7658226,0.8006574,0.765894,0.7783445,0.79013145,0.7871224,0.7932639,0.755331,0.76280993,0.7854314,0.7652431,0.80170965,0.781208,0.8268099,0.78999126,0.7875507,0.80636346,0.782043,0.8024838,0.7987363,0.8414636,0.7965527,0.7769628,0.7460068,0.76042885,0.8006403,0.77098686,0.7948463,0.8144191,0.7895586,0.7675735,0.7749386,0.7706948,0.7651972,0.7723318,0.76025695,0.7715472,0.7610421,0.80403924,0.8212997,0.79880154,0.8187415,0.71545714,0.74434346,0.787827,0.76304746,0.78250194,0.76290214,0.7681755,0.7523761,0.74364114,0.73317903,0.74635863,0.84165967,0.7517856
EA,0.7343811,0.75257707,0.73766613,0.74367946,0.7646884,0.7386833,0.72856706,0.7558751,0.73344994,0.79809356,0.78889406,0.7241042,0.71338075,0.73007655,0.71107197,0.6914002,0.7223588,0.7147454,0.7354605,0.75199485,0.75523305,0.7580199,0.71284956,0.76246977,0.7447757,0.73548007,0.7403325,0.76035446,0.697823,0.7293025,0.7228565,0.77641976,0.80022854,0.7569714,0.77389354,0.791983,0.7250643,0.725398,0.6722122,0.70516527,0.7667457,0.8018217,0.81420076,0.83365095,0.8407287,0.8264914,0.7957751,0.7555226,0.77905744,0.8406098,0.75960183,0.7969741,0.82154924,0.77649933,0.7739423,0.8499308,0.8315504,0.83129114,0.8074704,0.79043573,0.7717402,0.7854934,0.7657466,0.85147715,0.81619954,0.8117522,0.79534537,0.81001246,0.8107468,0.7821781,0.776723,0.79849076,0.7853995,0.71811295,0.7669576,0.8457146,0.80674046,0.7581272,0.78721005,0.99999994,0.8596267,0.865072,0.8064008,0.8329191,0.79706144,0.8024679,0.82808673,0.7939311,0.7818912,0.8063359,0.8013021,0.7440233,0.7387988,0.7286583,0.7514811,0.78116703,0.78595436,0.753209,0.74683774,0.7520294,0.7731633,0.7930155,0.74322486,0.7509062,0.7873785,0.816961,0.8113207,0.7448575,0.84333944,0.7896385,0.8158711,0.8570334,0.7413731,0.7911229,0.8097587,0.8205035,0.79114026,0.7829951,0.749114,0.74900115,0.77559596,0.7859327,0.7362539,0.7908189,0.746632,0.67842144,0.71798855,0.7205861,0.7517556,0.812099,0.7357746,0.7678914,0.70252436,0.7229609,0.6946332,0.77091324,0.764899,0.7200261,0.7502106,0.72352254,0.67717147,0.68291456,0.72123814,0.84112525,0.68851036
ER,0.7078067,0.7204217,0.73445547,0.7166866,0.725297,0.7140782,0.68720293,0.72167575,0.7298913,0.7326317,0.74856913,0.7016177,0.72112286,0.69798696,0.69058096,0.6838695,0.7138356,0.710293,0.71071404,0.73019373,0.725213,0.712657,0.68564934,0.72014874,0.7129425,0.68147916,0.714787,0.774735,0.7233882,0.7114165,0.7336037,0.7560847,0.7584251,0.7339574,0.71911824,0.7585448,0.717436,0.71959305,0.67642003,0.7045352,0.7360398,0.79151785,0.7849785,0.7735466,0.8043495,0.7783852,0.76979864,0.7567024,0.76638067,0.78775907,0.7421602,0.79080296,0.77735573,0.73977476,0.7378539,0.7957078,0.8112999,0.776236,0.75762093,0.77047694,0.762671,0.75251955,0.75443,0.84286094,0.8170264,0.83600694,0.8148579,0.8093734,0.80297667,0.800034,0.8038978,0.7986076,0.8083143,0.77108854,0.7666714,0.78459924,0.7852834,0.7605753,0.7763562,0.8596267,0.9999999,0.8680037,0.7715399,0.8070034,0.81546575,0.7976975,0.78788364,0.79347396,0.78724194,0.80707973,0.7843216,0.7454742,0.74362147,0.7240108,0.75257397,0.7684215,0.7508358,0.7396926,0.7458901,0.75600845,0.75633436,0.7624022,0.74835485,0.73977673,0.73946,0.75465596,0.76537824,0.72942126,0.78130317,0.7516414,0.811569,0.7971089,0.7380299,0.76866317,0.7999282,0.78180635,0.7955611,0.7778981,0.7520418,0.73142254,0.73740375,0.75631815,0.7370453,0.7715432,0.75420326,0.7129406,0.725969,0.7358163,0.71775657,0.7603761,0.75920355,0.7378644,0.70031285,0.69776624,0.6967775,0.7446582,0.72116053,0.6993394,0.7363646,0.7275771,0.68645287,0.68898463,0.7019931,0.80819803,0.69692504
ES,0.7448143,0.75598824,0.77355766,0.7494693,0.75698483,0.7333004,0.7442787,0.75734925,0.7354917,0.74988604,0.76225364,0.7102225,0.7217877,0.7180399,0.7220593,0.7160679,0.7335917,0.70702183,0.7398388,0.7443998,0.74816585,0.7692121,0.7274498,0.74616444,0.74805754,0.7378726,0.7380688,0.7150937,0.7057802,0.7243619,0.7154288,0.7780676,0.7844249,0.73671424,0.7462584,0.7515518,0.7207763,0.7260133,0.7041848,0.71882015,0.76422316,0.82925534,0.8028523,0.8178479,0.7916328,0.78888464,0.78636086,0.7818327,0.8098781,0.81779385,0.7809387,0.8273001,0.8142547,0.7724643,0.7814333,0.8203838,0.85787433,0.8097987,0.78549635,0.7874096,0.78813857,0.76785123,0.77054703,0.876078,0.80889577,0.82727206,0.79876614,0.7832197,0.76962566,0.75327396,0.786029,0.7911858,0.7747353,0.7312384,0.7898027,0.7983353,0.8154576,0.76879925,0.7973322,0.865072,0.8680037,1.0000001,0.7955965,0.8344798,0.8041038,0.7883981,0.7730552,0.79570377,0.7926763,0.8220781,0.7928588,0.7713023,0.757813,0.75456595,0.76568586,0.7543115,0.751673,0.73264563,0.7450653,0.73944575,0.7587365,0.7642062,0.7357315,0.7401877,0.7956577,0.7817433,0.8337852,0.75894177,0.78948545,0.76317525,0.7881175,0.7724328,0.7256324,0.76948893,0.8107255,0.7745532,0.80096966,0.7874072,0.7630063,0.7484429,0.7522852,0.7587075,0.73354685,0.76110476,0.73887295,0.73352593,0.7171835,0.73480487,0.74818426,0.77376956,0.7732155,0.7765367,0.7014569,0.71350974,0.69528174,0.77242756,0.75845313,0.71628773,0.73480666,0.7311976,0.70210266,0.68701535,0.6862369,0.8214129,0.70835525
EU,0.7194952,0.7320012,0.7186333,0.7609625,0.7460103,0.7216079,0.7275,0.7431341,0.7226356,0.7397723,0.71461326,0.75617415,0.73230517,0.72800946,0.72847724,0.7059952,0.7598471,0.72333235,0.7309205,0.74934417,0.7458627,0.7448872,0.70089775,0.7195948,0.7333444,0.72765684,0.72928274,0.6909012,0.6644863,0.6973137,0.67454445,0.7257198,0.80279297,0.73466563,0.77948606,0.7085302,0.7086959,0.70877004,0.6847139,0.6809107,0.7451269,0.75571156,0.7386606,0.755973,0.7210207,0.7670245,0.79972214,0.76028454,0.7461101,0.738773,0.7583061,0.7340841,0.73539567,0.70742655,0.77559894,0.73387516,0.7395187,0.71918094,0.7326902,0.76635313,0.70467544,0.69707614,0.75073886,0.74962056,0.7460995,0.7482192,0.7251858,0.7388171,0.71431994,0.691766,0.7508458,0.75595105,0.7348836,0.72220194,0.74962556,0.75926536,0.7415384,0.7291403,0.7701106,0.8064008,0.7715399,0.7955965,1.0000001,0.8294676,0.717387,0.71789265,0.73254246,0.74537367,0.737158,0.7370767,0.73456717,0.7476613,0.72701323,0.75335675,0.75559485,0.7300618,0.74807054,0.70241106,0.71178305,0.71659875,0.73588777,0.7252128,0.7333931,0.7249167,0.7260228,0.76699805,0.74436235,0.715809,0.7333836,0.78849435,0.7523258,0.7214171,0.7476022,0.68855464,0.6945662,0.7157341,0.75441885,0.73876905,0.6907242,0.69436044,0.7116726,0.74801207,0.7139033,0.73262167,0.7151909,0.6997322,0.7299947,0.7379732,0.73247325,0.74840945,0.7168182,0.7733476,0.6813213,0.68825376,0.7008992,0.7189422,0.7784525,0.67885274,0.6985137,0.6892971,0.6923428,0.67289424,0.6882941,0.7565522,0.69803154
EX,0.7340399,0.7845969,0.7510965,0.7899789,0.76750094,0.75378054,0.76079524,0.77128696,0.7185981,0.74008554,0.72260416,0.75450647,0.7344048,0.7286969,0.72788936,0.74596065,0.7754792,0.74342036,0.7431067,0.76620173,0.74548435,0.76876605,0.72764134,0.7643779,0.74724215,0.7513405,0.7601037,0.7124615,0.71224874,0.71525276,0.7188052,0.73807585,0.8148973,0.771826,0.7335299,0.7322418,0.74228454,0.7387463,0.69319046,0.69151676,0.7618215,0.7894647,0.7713357,0.7595193,0.75525576,0.78591865,0.8133193,0.80700564,0.76269877,0.76768905,0.7724282,0.80102706,0.76258725,0.7522572,0.8121958,0.786288,0.77515316,0.7611869,0.74700123,0.7927779,0.77322006,0.73419034,0.808542,0.77042013,0.7885111,0.76772165,0.7582741,0.7735883,0.7736367,0.76654637,0.7713025,0.7758968,0.77605027,0.75384086,0.74941444,0.7617621,0.7489786,0.73935944,0.7889068,0.8329191,0.8070034,0.8344798,0.8294676,1.0000002,0.75660396,0.75864846,0.7477561,0.80661213,0.7540289,0.757398,0.7503897,0.7608394,0.7441504,0.7760786,0.80614966,0.75608134,0.77871513,0.7176932,0.7174399,0.7557711,0.7410695,0.7560582,0.72578204,0.73613703,0.7764814,0.8164669,0.77018976,0.7676523,0.78141356,0.8494965,0.77641493,0.7623807,0.7832602,0.74424857,0.7443436,0.7658281,0.78377837,0.77014154,0.7572165,0.7535871,0.7463248,0.78660727,0.7312451,0.7805706,0.74101734,0.7379925,0.73496485,0.756426,0.76192284,0.7544322,0.74452955,0.80136883,0.7029562,0.70607,0.728402,0.76331115,0.7997724,0.7094085,0.70087075,0.70792115,0.74903715,0.7250886,0.71049994,0.8034276,0.74015987
HB,0.7503327,0.7503798,0.7610065,0.7355182,0.7396413,0.74981713,0.7430905,0.7580569,0.7816511,0.7541569,0.8100389,0.7345988,0.7799757,0.7545061,0.7337933,0.6996529,0.7487295,0.7309164,0.7336224,0.73992264,0.76526135,0.7313224,0.7142118,0.7561615,0.7262409,0.7205917,0.74402994,0.7804748,0.7525846,0.73589766,0.76496804,0.7580873,0.76255804,0.7569256,0.7607158,0.769721,0.7304435,0.71234906,0.7124189,0.7521013,0.7688627,0.8230221,0.8104257,0.77768147,0.82382107,0.8360055,0.78419566,0.7785597,0.8124084,0.81991935,0.776024,0.82535434,0.8179077,0.77149916,0.74931085,0.83333683,0.8178952,0.8137089,0.7850523,0.7792202,0.7621486,0.783922,0.7693578,0.85923386,0.825818,0.8457965,0.82972443,0.8342106,0.828717,0.8169831,0.82539135,0.8577421,0.81530523,0.7748089,0.7948292,0.8074899,0.81851476,0.8120819,0.79653186,0.79706144,0.81546575,0.8041038,0.717387,0.75660396,0.99999976,0.900906,0.8812171,0.9119386,0.8453114,0.84639394,0.8419845,0.80508626,0.7666535,0.77096397,0.7779495,0.78823406,0.74778014,0.76118195,0.7354742,0.7555058,0.735785,0.76810855,0.7303293,0.74576616,0.7560389,0.7593801,0.7851939,0.72727656,0.7984458,0.7347964,0.8427391,0.82577425,0.78977937,0.77305496,0.8514222,0.8235018,0.7698236,0.80668664,0.79190856,0.7891564,0.8110451,0.7771037,0.7657528,0.775368,0.7839757,0.71685946,0.7703879,0.7395623,0.7266735,0.74852383,0.76716423,0.74645156,0.69467485,0.7253597,0.7458041,0.8221043,0.760268,0.7764669,0.7870115,0.77747595,0.7117745,0.7068831,0.75585777,0.8301039,0.7091322
HS,0.73668677,0.73970425,0.72898936,0.7254435,0.718863,0.74196965,0.7138214,0.7350181,0.75917226,0.75251704,0.76997846,0.7284194,0.758242,0.73486197,0.70643216,0.69672054,0.7377511,0.7226269,0.71560925,0.7352251,0.7482545,0.7258855,0.7053312,0.74614596,0.73074555,0.7228193,0.73135734,0.77187943,0.73303175,0.71829045,0.73667204,0.750332,0.76520133,0.7805581,0.76031756,0.7614772,0.73563826,0.70779526,0.69055057,0.71415293,0.7543236,0.783736,0.78692514,0.7779644,0.8101904,0.82975477,0.7740283,0.76698977,0.77458304,0.79780513,0.73889506,0.79538846,0.7856529,0.7679297,0.72510576,0.8140675,0.790998,0.79547536,0.7591317,0.7523877,0.7483406,0.76562953,0.767985,0.83697015,0.82708853,0.8329971,0.8143563,0.83143234,0.8078666,0.8100651,0.8011503,0.843265,0.80512136,0.754791,0.76015437,0.7926069,0.80008554,0.7847648,0.7619273,0.8024679,0.7976975,0.7883981,0.71789265,0.75864846,0.900906,1.0000002,0.8857329,0.9043729,0.81252563,0.7905166,0.83679605,0.77610606,0.7606618,0.7467741,0.7718048,0.7703558,0.7366816,0.7367972,0.7290499,0.7402805,0.7239792,0.7442331,0.71247697,0.7139882,0.717454,0.7251065,0.74537724,0.69913894,0.7865781,0.7354268,0.8342352,0.8150702,0.7367306,0.8177621,0.81638217,0.84067994,0.7842082,0.8140153,0.7978574,0.7748676,0.7931498,0.7874932,0.74212915,0.7829373,0.7717538,0.70775586,0.7711236,0.72014755,0.71384037,0.75778985,0.76289535,0.77352047,0.6960985,0.7292721,0.7526079,0.8013097,0.75616205,0.7734326,0.7613069,0.77592593,0.69689476,0.70668274,0.7591014,0.81754124,0.7051586
HC,0.7356397,0.7384086,0.732369,0.7179613,0.7278633,0.7507367,0.710098,0.73218346,0.75641775,0.7489641,0.775005,0.73920834,0.7540466,0.7229643,0.70667195,0.6816622,0.7427902,0.7262937,0.7179212,0.7330376,0.7425014,0.72850096,0.6965831,0.7365827,0.73242354,0.71748483,0.72479516,0.7377747,0.72620285,0.7010191,0.7610783,0.75736773,0.7734449,0.74243546,0.7657141,0.73495245,0.7216036,0.6955893,0.6759361,0.6810869,0.7386211,0.77813476,0.76902944,0.8135015,0.8439729,0.82162654,0.7941487,0.7634864,0.7694063,0.78322905,0.74815345,0.777097,0.82197565,0.735582,0.7292438,0.7875084,0.7981924,0.83576965,0.77650225,0.75696903,0.7297828,0.7612276,0.75714767,0.8305697,0.80291826,0.82159436,0.7919814,0.84288603,0.8419011,0.81518066,0.7981661,0.8215967,0.8188014,0.73632026,0.77523553,0.7864917,0.7916664,0.7869339,0.7753327,0.82808673,0.78788364,0.7730552,0.73254246,0.7477561,0.8812171,0.8857329,1.0,0.89548635,0.81838477,0.80744076,0.8126237,0.7701194,0.74569184,0.7380706,0.7535328,0.80053586,0.7712265,0.74316704,0.7550097,0.73771334,0.73143893,0.7518064,0.7111364,0.7572673,0.7352712,0.76998675,0.77755773,0.71034,0.7670278,0.7303879,0.8378606,0.82247865,0.7558643,0.7777164,0.8129804,0.83279836,0.79692614,0.7790872,0.7871681,0.789747,0.8079517,0.79521906,0.7719587,0.79204226,0.7621064,0.70769215,0.7810705,0.72148794,0.725747,0.7581903,0.74881613,0.7531501,0.7060551,0.72423655,0.72926944,0.80109215,0.74488866,0.7722372,0.7602409,0.7620245,0.7281718,0.7214264,0.75323904,0.8027781,0.6945381
HG,0.75246716,0.7723505,0.7706435,0.75203353,0.7529155,0.7684244,0.75052774,0.7658663,0.76407075,0.76207995,0.7869383,0.74536926,0.7870259,0.7455292,0.7422174,0.6989902,0.76562476,0.7543801,0.72976846,0.7419607,0.7685533,0.7392175,0.71037513,0.7625247,0.72622,0.735659,0.7566511,0.73712766,0.7229672,0.7062373,0.74946827,0.73050284,0.7729876,0.7465468,0.73831713,0.74403167,0.72945476,0.7023555,0.6976116,0.71335816,0.7560045,0.8151156,0.81361187,0.78314877,0.8134487,0.85040265,0.80182815,0.7966651,0.7862087,0.79114944,0.7634773,0.80133176,0.79775107,0.723492,0.7527652,0.83388186,0.8174294,0.79804486,0.7681073,0.77278864,0.7509083,0.76313484,0.7747539,0.858178,0.8317267,0.82620525,0.8177579,0.8583398,0.8355976,0.81970125,0.8179178,0.85489607,0.8307169,0.76327676,0.7795558,0.79991055,0.7918689,0.80695385,0.7820903,0.7939311,0.79347396,0.79570377,0.74537367,0.80661213,0.9119386,0.9043729,0.89548635,0.9999998,0.83944106,0.8117974,0.84134847,0.79806757,0.78306484,0.78179055,0.7869832,0.77607477,0.7321922,0.7379938,0.70219064,0.741245,0.70154536,0.7288654,0.70752734,0.7137771,0.74266374,0.7672402,0.7744736,0.7120607,0.81696445,0.767817,0.85831857,0.8013287,0.744541,0.7838028,0.82560873,0.8168043,0.79854,0.80249536,0.78945786,0.78891176,0.8142828,0.8280578,0.7721716,0.79948145,0.7973603,0.7179411,0.77760375,0.7481097,0.7221494,0.75347054,0.7547816,0.7586846,0.70633626,0.720031,0.7472255,0.8109669,0.76612324,0.79111576,0.768736,0.75672084,0.72974193,0.71119726,0.74377275,0.8304975,0.7202767
WB,0.78284883,0.76054907,0.76420003,0.7469045,0.74852264,0.74648154,0.7466758,0.76152754,0.7637235,0.75408024,0.76450473,0.7354768,0.716608,0.72299826,0.7259383,0.6878195,0.7911638,0.7360908,0.72145224,0.7348125,0.75588894,0.75639063,0.7151065,0.7409673,0.7310444,0.73791564,0.74832606,0.7158106,0.7259901,0.70938987,0.74055797,0.76273334,0.77120805,0.75256836,0.7673296,0.7438829,0.7380917,0.72046554,0.70498794,0.71568274,0.75736785,0.79244393,0.7649984,0.7998781,0.7906031,0.80710006,0.7927162,0.8562533,0.79266953,0.81439936,0.76481044,0.7847532,0.84560895,0.75020146,0.7521474,0.80522424,0.8089757,0.80743897,0.791192,0.7916551,0.7699892,0.735917,0.7762902,0.83649886,0.8392879,0.8151754,0.8471529,0.82000065,0.8257997,0.81187415,0.80391335,0.81661975,0.7963321,0.7642633,0.8470877,0.79117006,0.7903009,0.8013225,0.78584975,0.7818912,0.78724194,0.7926763,0.737158,0.7540289,0.8453114,0.81252563,0.81838477,0.83944106,1.0000001,0.9319011,0.8345689,0.77271104,0.7629642,0.7521203,0.7569329,0.85549116,0.7569335,0.7659451,0.7346253,0.7766521,0.7470943,0.7709925,0.7631594,0.7399405,0.7770069,0.7864606,0.7824568,0.7407788,0.7882706,0.7459558,0.8057489,0.81158566,0.7552422,0.7350905,0.84560406,0.8007961,0.77346396,0.7972853,0.7744438,0.78987753,0.80415016,0.76685154,0.7478984,0.79741645,0.7485101,0.69791794,0.7918422,0.764127,0.75873685,0.7498788,0.7519028,0.7544456,0.6976769,0.6962139,0.73180854,0.77128214,0.7542452,0.73112667,0.76263726,0.74145734,0.7166064,0.729449,0.72576463,0.8229756,0.7029051
BU,0.763662,0.77410126,0.77258825,0.7470987,0.754529,0.738148,0.7504076,0.7677233,0.771646,0.76054984,0.7650005,0.7208127,0.7228661,0.74241036,0.71034825,0.707064,0.73578155,0.73248404,0.7330673,0.7442411,0.7564379,0.76346934,0.72192097,0.737606,0.72346246,0.72812694,0.7445097,0.7544031,0.74795455,0.73620963,0.7743342,0.7803508,0.77409,0.76071286,0.75943923,0.7508253,0.72804785,0.7188515,0.7173639,0.737784,0.77095824,0.7944444,0.7742938,0.8254155,0.7984559,0.79613054,0.80510974,0.7837658,0.8241092,0.8426578,0.78644186,0.7993022,0.8250531,0.7990048,0.77902824,0.82042867,0.83871645,0.83377683,0.8074125,0.80686283,0.8009527,0.76368797,0.78281677,0.8376454,0.8368025,0.82872117,0.8086923,0.7983333,0.81017923,0.81997955,0.7822708,0.81433356,0.7902552,0.7524833,0.7929945,0.80894125,0.8079763,0.8060439,0.80073255,0.8063359,0.80707973,0.8220781,0.7370767,0.757398,0.84639394,0.7905166,0.80744076,0.8117974,0.9319011,1.0000001,0.79927695,0.7760514,0.7796055,0.7617038,0.7711158,0.7827066,0.7888277,0.7605757,0.75124717,0.78058535,0.75848544,0.79028875,0.77642107,0.7696914,0.80652285,0.78342956,0.81986874,0.75107384,0.7882432,0.7462615,0.81324583,0.82792044,0.78365695,0.7488414,0.84677655,0.80832916,0.78671134,0.8082452,0.76299584,0.79027855,0.812348,0.77407485,0.76428896,0.7547684,0.7635652,0.71134686,0.76391673,0.7681359,0.7885916,0.7673127,0.75461817,0.758088,0.71161664,0.72460806,0.7305931,0.7749922,0.7597348,0.72643626,0.7609118,0.74384844,0.71434426,0.7257811,0.7557257,0.8235561,0.71446383
CB,0.80490255,0.75929874,0.7789924,0.7726958,0.7728116,0.75775874,0.77999234,0.78248394,0.765102,0.79274476,0.8130903,0.74906147,0.7563553,0.75337946,0.73479354,0.6989344,0.7602963,0.7433511,0.72848713,0.7484689,0.78253055,0.7610639,0.7416203,0.7713321,0.75911224,0.75128007,0.7736219,0.740275,0.7157819,0.7404734,0.7182825,0.7703201,0.77823585,0.73736113,0.75963384,0.7714029,0.73008835,0.7498847,0.71106285,0.73824394,0.7549961,0.81458783,0.83270836,0.7832328,0.8124707,0.8269345,0.7835554,0.8192388,0.8008484,0.8267991,0.7797607,0.83227825,0.8056996,0.745162,0.7672746,0.8262572,0.80290425,0.78349507,0.77241623,0.7952727,0.75832266,0.77668417,0.78598017,0.84167945,0.80835664,0.8057492,0.8152516,0.80896723,0.77905446,0.75721467,0.7751788,0.8086177,0.781459,0.73906755,0.784651,0.79394555,0.77971065,0.78344834,0.7658226,0.8013021,0.7843216,0.7928588,0.73456717,0.7503897,0.8419845,0.83679605,0.8126237,0.84134847,0.8345689,0.79927695,0.9999999,0.8546683,0.8137313,0.84575313,0.841819,0.8028552,0.7503118,0.76131344,0.739977,0.7795194,0.75401694,0.7682872,0.7326203,0.7290585,0.7201028,0.7618413,0.7591333,0.72040236,0.81285477,0.7582416,0.8173375,0.82182515,0.7351387,0.7745214,0.8256056,0.80655164,0.7848933,0.79467696,0.73537564,0.7834624,0.7973701,0.7600582,0.73506683,0.78153205,0.72906655,0.717202,0.7655659,0.7509388,0.73331463,0.74758714,0.7571075,0.7599179,0.69658124,0.7508788,0.7299372,0.79834,0.78164196,0.7431732,0.7772387,0.7783593,0.71211106,0.7092775,0.709575,0.8110392,0.71192193
